Financial_Year,Tax_Gap_Billion,Source_Publication_Year,Tax_Type
2009-10,1.8,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2009-10,1.8,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2009-10,1.8,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2010-11,1.5,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2010-11,1.5,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2010-11,1.4,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2011-12,1.5,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2011-12,1.5,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2011-12,1.5,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2012-13,1.7,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2012-13,1.7,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2012-13,1.7,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2013-14,1.8,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2013-14,1.8,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2013-14,1.8,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2014-15,1.3,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2014-15,1.3,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2014-15,1.2,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2015-16,1.8,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2015-16,1.8,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2015-16,1.8,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2016-17,1.8,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2016-17,1.8,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2016-17,1.9,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2017-18,1.5,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2017-18,1.3,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2017-18,1.5,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2018-19,1.6,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2018-19,1.6,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2018-19,1.6,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2019-20,1.8,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2019-20,2.0,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2019-20,1.6,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2020-21,1.9,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2020-21,2.2,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2020-21,1.7,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2021-22,2.2,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2021-22,1.7,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2022-23,1.6,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2023-24,1.4,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2005-06,0.5,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2005-06,0.2,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2005-06,0.3,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2006-07,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2006-07,0.3,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2006-07,0.4,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2007-08,0.4,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2007-08,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2007-08,0.3,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2008-09,0.6,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2008-09,0.3,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2008-09,0.3,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2009-10,0.5,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2009-10,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2009-10,0.4,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2010-11,0.6,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2010-11,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2010-11,0.4,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2011-12,0.5,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2011-12,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2011-12,0.4,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2012-13,0.6,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2012-13,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2012-13,0.5,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2013-14,1.0,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2013-14,0.4,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2013-14,0.6,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2014-15,0.9,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2014-15,0.3,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2014-15,0.6,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2015-16,0.8,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2015-16,0.2,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2015-16,0.6,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2016-17,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2016-17,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2016-17,0.6,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2017-18,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2017-18,0.2,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2017-18,0.5,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2018-19,0.8,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2018-19,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2018-19,0.7,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2019-20,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2019-20,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2019-20,0.7,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2020-21,0.8,2022,Macro Tax Summary - Excise duty (Breakdown 2)
2020-21,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2020-21,0.7,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2021-22,0.1,2023,Macro Tax Summary - Excise duty (Breakdown 2)
2021-22,0.5,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2022-23,0.4,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2023-24,0.7,2025,Macro Tax Summary - Excise duty (Breakdown 2)
2005-06,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2005-06,0.3,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2005-06,0.2,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2006-07,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2006-07,0.4,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2006-07,0.3,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2007-08,0.6,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2007-08,0.3,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2007-08,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2008-09,0.8,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2008-09,0.3,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2008-09,0.3,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2009-10,0.7,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2009-10,0.4,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2009-10,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2010-11,0.4,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2010-11,0.4,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2010-11,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2011-12,0.2,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2011-12,0.4,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2011-12,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2012-13,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2012-13,0.5,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2012-13,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2013-14,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2013-14,0.6,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2013-14,0.4,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2014-15,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2014-15,0.6,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2014-15,0.3,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2015-16,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2015-16,0.6,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2015-16,0.2,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2016-17,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2016-17,0.6,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2016-17,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2017-18,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2017-18,0.5,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2017-18,0.2,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2018-19,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2018-19,0.7,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2018-19,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2019-20,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2019-20,0.7,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2019-20,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2020-21,0.1,2022,Macro Tax Summary - Excise duty (Breakdown 3)
2020-21,0.7,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2020-21,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
2021-22,0.5,2023,Macro Tax Summary - Excise duty (Breakdown 3)
2021-22,0.1,2025,Macro Tax Summary - Excise duty (Breakdown 3)
